id,text,label,logit_0,logit_1,prob_0,prob_1
0,选择珠江花园的原因就是方便，有电动扶梯直接到达海边，周围餐馆、食廊、商场、超市、摊位一应俱全。酒店装修一般，但还算整洁。 泳池在大堂的屋顶，因此很小，不过女儿倒是喜欢。 包的早餐是西式的，还算丰富。 服务吗，一般,1,-0.3514539897441864,0.8756656050682068,0.22668597102165222,0.7733140587806702
1,15.4寸笔记本的键盘确实爽，基本跟台式机差不多了，蛮喜欢数字小键盘，输数字特方便，样子也很美观，做工也相当不错,1,-0.8877973556518555,0.8425732851028442,0.15054017305374146,0.8494598269462585
2,房间太小。其他的都一般。。。。。。。。。,0,1.3817583322525024,0.0662219300866127,0.7884381413459778,0.2115618884563446
3,"1.接电源没有几分钟,电源适配器热的不行. 2.摄像头用不起来. 3.机盖的钢琴漆，手不能摸，一摸一个印. 4.硬盘分区不好办.",0,0.04804966226220131,0.22262954711914062,0.45646554231643677,0.543534517288208
4,"今天才知道这书还有第6卷,真有点郁闷:为什么同一套书有两种版本呢?当当网是不是该跟出版社商量商量,单独出个第6卷,让我们的孩子不会有所遗憾。",1,0.12772966921329498,0.2292870730161667,0.4746324419975281,0.5253675580024719
5,机器背面似乎被撕了张什么标签，残胶还在。但是又看不出是什么标签不见了，该有的都在，怪,0,0.4444691240787506,0.4014529883861542,0.5107523798942566,0.4892476499080658
6,呵呵，虽然表皮看上去不错很精致，但是我还是能看得出来是盗的。但是里面的内容真的不错，我妈爱看，我自己也学着找一些穴位。,0,1.0060209035873413,-0.9767786264419556,0.8789792656898499,0.12102071195840836
7,"这本书实在是太烂了,以前听浙大的老师说这本书怎么怎么不对,哪些地方都是误导的还不相信,终于买了一本看一下,发现真是~~~无语,这种书都写得出来",0,0.807982325553894,-0.7065770626068115,0.8197359442710876,0.18026408553123474
8,"地理位置佳，在市中心。酒店服务好、早餐品种丰富。我住的商务数码房电脑宽带速度满意,房间还算干净，离湖南路小吃街近。",1,-0.9824841022491455,1.3819758892059326,0.08592324703931808,0.9140766859054565
9,5.1期间在这住的，位置还可以，在市委市政府附近，要去商业区和步行街得打车，屋里有蚊子，虽然空间挺大，晚上熄灯后把窗帘拉上简直是伸手不见五指，很适合睡觉，但是会被该死的蚊子吵醒！打死了两只，第二天早上还是发现又没打死的，卫生间挺大，但是设备很老旧。,1,-0.4606040418148041,1.07416832447052,0.1772965043783188,0.82270348072052
10,我看过朋友的还可以，但是我订的书迟迟未到已有半个月，都没有收到打电话也没有用，以后你们订书一定要考虑好！当当实在是太慢了,0,0.9559706449508667,-0.32615575194358826,0.7828115224838257,0.21718846261501312
11,还不错，设施稍微有点旧但是可以接收，但是606的价格还不含早餐有点高了。楼下的商场和超市很方便。下次来还会选择这家。,1,-0.2878367006778717,0.8877490758895874,0.23584681749343872,0.7641531825065613
12,轻便，方便携带，性能也不错，能满足平时的工作需要，对出差人员来说非常不错,1,-0.264918714761734,0.25234436988830566,0.37349244952201843,0.626507580280304
13,"入住的是度假区的豪华海景房,前台给了5楼(最高6楼),然后差不多100%的海景,虽然是挂牌5星的,但是本人觉得是4星的标准,和我后来入住的5星喜来登差了蛮多的,不过整体来说还是符合他家的价钱的.",1,-0.6240034699440002,1.3882205486297607,0.11792543530464172,0.8820745348930359
14,1.模具有摄像头的位置，但是没有摄像头。 2.做工一般。 3.说明书和驱动都是电子版。 4.没有预装XP系统。,0,0.3366222083568573,-0.08739399909973145,0.6044439077377319,0.39555612206459045
15,送的内胆包有点不好，还有外接电源中间连接处无法全部插入。续航时间也没有标称的那么长，希望京东能注意宣传的真实性。,0,0.6148359179496765,0.04386935383081436,0.6389861702919006,0.36101382970809937
16,"这是我第1次给全五星哦^_^超级快!这是最快收到书的一次了.我是中午的时候订的,结果第2天上午就收到了,算了一下,1天的时间都还没到呢!在此,感激下当当的服务...我的确是很急需这本书呢.关于书的本身,也很不错.内容还是很丰富的,值得推荐,对于训练和培养逻辑思维套式有一定的帮助,推荐一下~还有祝朋友们都面试成功,哈哈哈~",1,0.5605387687683105,-0.05143503099679947,0.6483908891677856,0.35160908102989197
17,很好的地理位置，一蹋糊涂的服务，萧条的酒店。,0,-0.1365659385919571,0.8718953132629395,0.26728111505508423,0.7327189445495605
18,漂亮（老婆认为的），性价比高。电池很棒，能用4～6个小时，兼容性还行，拿到手直接重装了WIN7，基本不需要任何驱动，除了快捷键。,1,-0.021332690492272377,0.38940706849098206,0.3987347483634949,0.6012652516365051
19,内存太小，偶配了2根“金条”，目前兼容。但不知道是内存不兼容还是什么，有时会听到硬盘“咔咔”运行的声音。预置系统下Office是2007试用版，偶自装2003，则每次启动弹出正版增值计划窗口，很麻烦！,0,0.39476171135902405,0.43912839889526367,0.48891016840934753,0.5110898613929749
20,非常不错，服务很好，位于市中心区，交通方便，不过价格也高！,1,-0.6274922490119934,0.8856472373008728,0.18047399818897247,0.8195260763168335
21,"两岁的儿子特别喜欢车,尤其是火车，于是在朋友推荐下我买了一套。没想到孩子特别喜欢，尤其是第一本《轱辘轱辘转》，天天睡觉前都要把书抱到床上看。他会不停的问我“这是什么车？”，“这是什么车？”。现在已经把第一本书都翻烂了。走在路上，看到车时，他会非常兴奋的告诉我“妈妈，水泥搅拌车！”。书中各种各样的车，给了孩子很多想像的空间，而且这是我第一次在当当上买书就非常的成功，不错，下次还来。",1,0.43170419335365295,-0.17042326927185059,0.6461428999900818,0.3538571298122406
22,"书看到最后几页居然是?双眼皮?,所有的字都印成了两遍头，根本就不能看。书的质量实在太差.",0,0.9568310976028442,-0.4670877456665039,0.8059520125389099,0.1940479725599289
23,有些东西不赞同，事后的捷径，不过如此，年青人该经历的还是要去体验，否则拥有后还会抛弃，因为那不是他自己选择过的，所以此书可是说有误导成分,0,0.4137062430381775,-0.2769288122653961,0.6661081910133362,0.33389177918434143
24,我去官网下了最新的XP驱动，结果声卡装好了，有声音了，接着装显卡，装完显卡，电脑就没声音了，一共装了四次，第三次才发现显卡驱动和声卡驱动冲突， 然后在官网下了前一个显卡驱动，终于搞定了，没有冲突,0,0.19324897229671478,0.32889559864997864,0.4661402702331543,0.5338597297668457
25,是一个朋友送给我的，如今我又在把它推荐给其他朋友。是它为我打开了一扇门，通向图画书的宫殿的门。就连我这个所谓的教育工作者也要感叹自己的无知。感谢作者告诉了我们世界上有这么多的好的图画书。我给晓晓买的图画书都是这样按图索骥买来的，本本都让她爱不释手！当然了，现在还发现了它另外一个妙用：省钱。哈哈，试想，把那里面的书都买下来要多少钱啊？嘿嘿，我不做傻瓜。就这样讲故事，也不错。,1,0.46189454197883606,-0.31837451457977295,0.6857380867004395,0.31426191329956055
26,跟住招待所没什么太大区别。 绝对不会再住第2次的酒店！,0,-0.28232285380363464,0.597590982913971,0.2931956648826599,0.7068043947219849
27,"差得要命,很大股霉味,勉强住了一晚,第二天大早赶紧溜",0,-0.12798263132572174,0.7650920152664185,0.2904757261276245,0.7095242738723755
28,1.上了半天网，都上不去，问酒店，答曰坏了。气愤！ 2.晚上入住适逢变天，天气变冷，开了半天空调，竟然还是冷风，问酒店，答曰晚上关空调。晕！床上只有一床单被，到处找被子，无。问酒店要，半小时催了三次电话才来。还是冷，要求在加一床被子，服务员去后再也没回，打到总台，又等了半天，回复没被子了。不把顾客当人啊。 3.一晚没睡成，凌晨5点多，被不知道哪里来的低沉的轰鸣声吵醒。在房间找了半天没查出哪里来得声音，叫来服务员，（半小时催了三四次才来，人都要疯掉）。六点多服务员才来，也解决不了。就这么一夜没睡。买气受来了。 4.到总台要求当班经理来解释，换了几个人来，说了几遍，酒店不断去落实事情真相，最后才来一个自称客服经理的，说却有其事，表示道歉，做了一小时的冷板凳，一口热水没喝，口都讲干了。这就是他们的诚意。 总结：硬件老旧，服务太差。,0,0.09626772254705429,0.7903702855110168,0.33312106132507324,0.6668789386749268
29,拿回家的那天，我女儿第一时间要我给她讲完6本故事！累死我了。因为有第一套“神奇校车”，小家伙都很喜欢。但是，我个人认为，这一套没有第一套好看，人物画得和第一套有点差别，有时候故事衔接不上，感觉不是正版或不是一个时间翻译出来的版本一样。总之没有第一套好看，对于5岁的孩子来说，内容有点深了，不够第一套吸引人。但是总体来说还是很好的，也许放到大一点再读是不是不一样呢？,1,0.6190555095672607,0.37878307700157166,0.5597807765007019,0.4402191936969757
